Parameter,Header,Query,Description,Required,Type,Option/s,Option/s Description,Default,Override/s,Subscription,Tips
suppressNavLinks,,X,This parameter is used to suppress the inclusion of top-level navigation links in the response payload.,,xsd:string,"true,false",,FALSE,,,
date,,X,"Represents the date range associated with the search, with the lowest granularity being year.",,xsd:string,,can be single years or ranges (i.e. 2002-2007),,,,
start,,X,Numeric value representing the results offset (i.e. starting position for the search results). The maximum for this value is a system-level default (varies with search cluster) minus the number of results requested. If not specified the offset will be set to zero (i.e. first search result),,xsd:string,,,,,,Max: 5000
count,,X,Numeric value representing the maximum number of results to be returned for the search. If not provided this will be set to a system default based on service level. In addition the number cannot exceed the maximum system default - if it does an error will be returned.,,xsd:string,,,,,,
sort,,X,"Represents the sort field name and order. A plus in front of the sort field name indicates ascending order, a minus indicates descending order.",,xsd:string,"+artnum,-artnum,+citedby-count,-citedby-count,+coverDate,-coverDate,+creator,-creator,+orig-load-date,-orig-load-date,+pagecount,-pagecount,+pagefirst,-pagefirst,+pageRange,-pageRange,+publicationName,-publicationName,+pubyear,-pubyear,+relevancy,-relevancy,+volume,-volume",,-{field name},,,"+ is ASC, - is DESC. Up to three fields can be specified, each delimited by a comma. The precedence is determined by their order (i.e. first is primary, second is secondary, and third is tertiary)."
content,,X,This parameter is used to filter specific categories of content that should be searched/returned.,,xsd:string,"core,dummy,all",,all,,,
subj,,X,Represents the subject area code associated with the content category desired. Note that these subject code mapping vary based upon the environment in which the request is executed.,,xsd:string,"AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE,MULT","Agricultural and Biological Sciences, Arts and Humanities, Biochemistry, Genetics and Molecular Biology, Business, Management and Accounting, Chemical Engineering, Chemistry, Computer Science, Decision Sciences, Dentistry, Earth and Planetary Sciences, Economics, Econometrics and Finance, Energy, Engineering, Environmental Science, Health Professions, Immunology and Microbiology, Materials Science, Mathematics, Medicine, Neuroscience, Nursing, Pharmacology, Toxicology and Pharmaceutics, Physics and Astronomy, Psychology, Social Sciences, Veterinary, Multidisciplinary",,,,https://api.elsevier.com/content/subject/scopus?httpAccept=text/xml
alias,,X,This parameter controls the default behavior of returning a superseded author profiles. Submitting this parameter as false will override the default behavior. This is only applicable for searches targeting author identifiers.,,xsd:string,"true,false",,TRUE,,X,
cursor,,X,This parameter is used when a user wants to execute deep pagination searching (i.e. iterate to the end of a search result set).,,xsd:string,,,,,X,"Under normal circumstances, when using the 'start' parameter (results offset), access to the total result set is limited to a predefined maximum number of results. By using the cursor in place of the 'start' the user can iterate to the very end of the result set, with the restriction that results can only be accessed by iterating forward sequentially (there will be no 'prev' or 'last' links available). This capability is initially accessed by sending a ""*"" in the first search request. Subsequent requests should submit the 'cursor/@next' value from each corresponding response as the 'cursor' value. The 'cursor/@next' value must be URL encoded by the client application. The navigation links ('next') can also be used to navigate to each succeeding search result entry and are URL encoded by default."
facets,,X,"Represents the navigator that should be included in the search results. One or more navigators can be specified on the request, delimited by a semicolon Different dimensions of the navigator will be represented within parentheses. These dimensions include:",,xsd:string,"af-id,aucite,au-id,authname,country,exactsrctitle,fund-sponsor,language,openaccess,pubyear,restype,srctype,subjarea",,,,,"count : the number of ""buckets"" to include (i.e. how many navigator entries) sort : how the navigators should be sorted. Options include na (Modifier name, ascending), fd (Modifier frequency, descending), and fdna (Modifier frequency descending, secondary sort through unity by name, ascending). prefix : filters the facet values to only those matching the prefix specified (not applicable for numeric values). In addition, qualifiers can be specified to include or exclude values from the response (i.e. filter). The options: include : include only the value specified from the facet response. include_above : include only values above the value specified from the facet response. include_below : include only values below the value specified from the facet response. exclude : exclude only the value specified from the facet response. exclude_above : exclude all values above the value specified from the facet response. exclude_below : exclude all values below the value specified from the facet response. ex. facets=authname(count=20,sort=na,prefix=Ma);exactsrctitle (prefix=J);subjarea(sort=fd);pubyear;srctype(sort=fdna)"
