"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"73Y37NSD","journalArticle","1991","Shope, R","Global climate change and infectious diseases.","Environmental Health Perspectives","","0091-6765, 1552-9924","10.1289/ehp.9196171","https://ehp.niehs.nih.gov/doi/10.1289/ehp.9196171","","1991-12","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:38","171-174","","","96","","Environ Health Perspect","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\GKJ9566J\Shope - 1991 - Global climate change and infectious diseases..pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78EBVFYB","journalArticle","2019","Miles-Novelo, Andreas; Anderson, Craig A.","Climate Change and Psychology: Effects of Rapid Global Warming on Violence and Aggression","Current Climate Change Reports","","2198-6061","10.1007/s40641-019-00121-2","http://link.springer.com/10.1007/s40641-019-00121-2","","2019-03","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:40","36-46","","1","5","","Curr Clim Change Rep","Climate Change and Psychology","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\MG77RMKY\Miles-Novelo and Anderson - 2019 - Climate Change and Psychology Effects of Rapid Gl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8DBXCWL","journalArticle","2011","Betts, Richard A.; Collins, Matthew; Hemming, Deborah L.; Jones, Chris D.; Lowe, Jason A.; Sanderson, Michael G.","When could global warming reach 4°C?","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","","1364-503X, 1471-2962","10.1098/rsta.2010.0292","https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0292","The Intergovernmental Panel on Climate Change (IPCC) Fourth Assessment Report (AR4) assessed a range of scenarios of future greenhouse-gas emissions without policies to specifically reduce emissions, and concluded that these would lead to an increase in global mean temperatures of between 1.6°C and 6.9°C by the end of the twenty-first century, relative to pre-industrial. While much political attention is focused on the potential for global warming of 2°C relative to pre-industrial, the AR4 projections clearly suggest that much greater levels of warming are possible by the end of the twenty-first century in the absence of mitigation. The centre of the range of AR4-projected global warming was approximately 4°C. The higher end of the projected warming was associated with the higher emissions scenarios and models, which included stronger carbon-cycle feedbacks. The highest emissions scenario considered in the AR4 (scenario A1FI) was not examined with complex general circulation models (GCMs) in the AR4, and similarly the uncertainties in climate–carbon-cycle feedbacks were not included in the main set of GCMs. Consequently, the projections of warming for A1FI and/or with different strengths of carbon-cycle feedbacks are often not included in a wider discussion of the AR4 conclusions. While it is still too early to say whether any particular scenario is being tracked by current emissions, A1FI is considered to be as plausible as other non-mitigation scenarios and cannot be ruled out. (A1FI is a part of the A1 family of scenarios, with ‘FI’ standing for ‘fossil intensive’. This is sometimes erroneously written as A1F1, with number 1 instead of letter I.) This paper presents simulations of climate change with an ensemble of GCMs driven by the A1FI scenario, and also assesses the implications of carbon-cycle feedbacks for the climate-change projections. Using these GCM projections along with simple climate-model projections, including uncertainties in carbon-cycle feedbacks, and also comparing against other model projections from the IPCC, our best estimate is that the A1FI emissions scenario would lead to a warming of 4°C relative to pre-industrial during the 2070s. If carbon-cycle feedbacks are stronger, which appears less likely but still credible, then 4°C warming could be reached by the early 2060s in projections that are consistent with the IPCC’s ‘likely range’.","2011-01-13","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:42","67-84","","1934","369","","Phil. Trans. R. Soc. A.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\DCV6VW6R\Betts et al. - 2011 - When could global warming reach 4°C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFZ7MJNP","journalArticle","2020","Jewell, Jessica; Cherp, Aleh","On the political feasibility of climate change mitigation pathways: Is it too late to keep warming below 1.5°C?","WIREs Climate Change","","1757-7780, 1757-7799","10.1002/wcc.621","https://wires.onlinelibrary.wiley.com/doi/10.1002/wcc.621","Abstract                            Keeping global warming below 1.5°C is technically possible but is it politically feasible? Understanding political feasibility requires answering three questions: (a) “               Feasibility of what               ?,” (b)               “Feasibility when and where?               ,               ”               and (c)               “Feasibility for whom?               .               ”               In relation to the 1.5°C target, these questions translate into (a) identifying specific actions comprising the 1.5°C pathways; (b) assessing the economic and political costs of these actions in different socioeconomic and political contexts; and (c) assessing the economic and institutional capacity of relevant social actors to bear these costs. This view of political feasibility stresses costs and capacities in contrast to the prevailing focus on benefits and motivations which mistakes desirability for feasibility. The evidence on the political feasibility of required climate actions is not systematic, but clearly indicates that the costs of required actions are too high in relation to capacities to bear these costs in relevant contexts. In the future, costs may decline and capacities may increase which would reduce political constraints for at least some solutions. However, this is unlikely to happen in time to avoid a temperature overshoot. Further research should focus on exploring the “dynamic political feasibility space” constrained by costs and capacities in order to find more feasible pathways to climate stabilization.                                         This article is categorized under:                                                   The Carbon Economy and Climate Mitigation > Decarbonizing Energy and/or Reducing Demand","2020-01","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:46","e621","","1","11","","WIREs Climate Change","On the political feasibility of climate change mitigation pathways","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\TFKVGVFU\Jewell and Cherp - 2020 - On the political feasibility of climate change mit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9L2NGQWX","journalArticle","2012","Ramasamy, Rajesh; Swamy, Anjaneya","Global warming, climate change and tourism: A review of literature","CULTUR: Revista de Cultura e Turismo","","","","https://dialnet.unirioja.es/servlet/articulo?codigo=5322623","","2012","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:48","72–98","","3","6","","","Global warming, climate change and tourism","","","","","","","","","","","","Google Scholar","","Publisher: UESC-Universidade Estadual de Santa Cruz","","C:\Users\kjmaier\Zotero\storage\NJXFMFFW\Ramasamy and Swamy - 2012 - Global warming, climate change and tourism A revi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYK77FAT","journalArticle","2018","DaMatta, Fábio M.; Avila, Rodrigo T.; Cardoso, Amanda A.; Martins, Samuel C. V.; Ramalho, José C.","Physiological and Agronomic Performance of the Coffee Crop in the Context of Climate Change and Global Warming: A Review","Journal of Agricultural and Food Chemistry","","0021-8561, 1520-5118","10.1021/acs.jafc.7b04537","https://pubs.acs.org/doi/10.1021/acs.jafc.7b04537","","2018-05-30","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:48","5264-5274","","21","66","","J. Agric. Food Chem.","Physiological and Agronomic Performance of the Coffee Crop in the Context of Climate Change and Global Warming","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\8SYYSPKX\DaMatta et al. - 2018 - Physiological and Agronomic Performance of the Cof.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUYIQ4FB","journalArticle","2011","Fujibe, Fumiaki","Urban warming in Japanese cities and its relation to climate change monitoring","International Journal of Climatology","","0899-8418, 1097-0088","10.1002/joc.2142","https://rmets.onlinelibrary.wiley.com/doi/10.1002/joc.2142","Abstract                            This article briefly reviews urban warming studies in Japan, where many of the stations established by the beginning of the 20th century are located in cities that have undergone rapid industrialization. The recorded rate of temperature increase is a few degrees per century in large cities and tends to be larger at night than during the daytime. In some cities, the increase in annual extreme minimum temperature exceeds 10 °C century               −1               . On the other hand, recent numerical studies have revealed widespread urban warming around Tokyo and other megacities during afternoons of the warm season as a result of extensive urbanization that enhances daytime surface heating. An analysis using data from the dense Automated Meteorological Data Acquisition System network has shown that an urban bias in recent temperature trends is detectable not only in densely inhabited areas but also at slightly urbanized sites with 100–300 people km               −2               , indicating the need for careful assessment of the background climate change. There is also some evidence of microscale effects on observed temperature, as revealed by an analysis of the relationship between trends in temperature and wind speed. Copyright © 2010 Royal Meteorological Society","2011-02","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:52","162-173","","2","31","","Intl Journal of Climatology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\HPECPKRI\Fujibe - 2011 - Urban warming in Japanese cities and its relation .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUM9Y8MZ","journalArticle","2014","Trenberth, Kevin E.; Dai, Aiguo; Van Der Schrier, Gerard; Jones, Philip D.; Barichivich, Jonathan; Briffa, Keith R.; Sheffield, Justin","Global warming and changes in drought","Nature Climate Change","","","","https://www.nature.com/articles/nclimate2067","","2014","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:54","17–22","","1","4","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group UK London","","C:\Users\kjmaier\Zotero\storage\3J48T8KZ\Trenberth et al. - 2014 - Global warming and changes in drought.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NLNR6ET","journalArticle","2010","Kurane, Ichiro","The effect of global warming on infectious diseases","Osong public health and research perspectives","","","","https://www.sciencedirect.com/science/article/pii/S2210909910000056","","2010","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:49:58","4–9","","1","1","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\D4QLZDB9\S2210909910000056.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45BXCUTF","journalArticle","2021","Rajak, Jitendra","A preliminary review on impact of climate change and our environment with reference to global warming","Int. J. Environ. Sci","","","","http://www.crdeepjournal.org/wp-content/uploads/2021/01/Vol-10-1-2-IJES-.pdf","","2021","2024-02-01 02:50:00","2024-02-01 02:50:00","2024-02-01 02:50:00","11–14","","","10","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\kjmaier\Zotero\storage\7NVS8KNE\Rajak - 2021 - A preliminary review on impact of climate change a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFM2NCDJ","journalArticle","2011","Dai, Aiguo","Drought under global warming: a review","WIREs Climate Change","","1757-7780, 1757-7799","10.1002/wcc.81","https://wires.onlinelibrary.wiley.com/doi/10.1002/wcc.81","Abstract                            This article reviews recent literature on drought of the last millennium, followed by an update on global aridity changes from 1950 to 2008. Projected future aridity is presented based on recent studies and our analysis of model simulations. Dry periods lasting for years to decades have occurred many times during the last millennium over, for example, North America, West Africa, and East Asia. These droughts were likely triggered by anomalous tropical sea surface temperatures (SSTs), with La Niña‐like SST anomalies leading to drought in North America, and El‐Niño‐like SSTs causing drought in East China. Over Africa, the southward shift of the warmest SSTs in the Atlantic and warming in the Indian Ocean are responsible for the recent Sahel droughts. Local feedbacks may enhance and prolong drought. Global aridity has increased substantially since the 1970s due to recent drying over Africa, southern Europe, East and South Asia, and eastern Australia. Although El Niño‐Southern Oscillation (ENSO), tropical Atlantic SSTs, and Asian monsoons have played a large role in the recent drying, recent warming has increased atmospheric moisture demand and likely altered atmospheric circulation patterns, both contributing to the drying. Climate models project increased aridity in the 21               st               century over most of Africa, southern Europe and the Middle East, most of the Americas, Australia, and Southeast Asia. Regions like the United States have avoided prolonged droughts during the last 50 years due to natural climate variations, but might see persistent droughts in the next 20–50 years. Future efforts to predict drought will depend on models' ability to predict tropical SSTs.               WIREs Clim Change               2011 2 45–65 DOI: 10.1002/wcc.81                                         This article is categorized under:                                                   Paleoclimates and Current Trends > Detection and Attribution                                                     Paleoclimates and Current Trends > Modern Climate Change                                                     Assessing Impacts of Climate Change > Evaluating Future Impacts of Climate Change                                                     Assessing Impacts of Climate Change > Observed Impacts of Climate Change","2011-01","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:29","45-65","","1","2","","WIREs Climate Change","Drought under global warming","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\SSE25X2I\Dai - 2011 - Drought under global warming a review.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGW4KNIN","journalArticle","2005","Khasnis, Atul A.; Nettleman, Mary D.","Global warming and infectious disease","Archives of medical research","","","","https://www.sciencedirect.com/science/article/pii/S0188440905001517","","2005","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:35","689–696","","6","36","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\GV838J3Q\S0188440905001517.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSX8CWID","journalArticle","2011","Wernberg, Thomas; Russell, Bayden D.; Moore, Pippa J.; Ling, Scott D.; Smale, Daniel A.; Campbell, Alex; Coleman, Melinda A.; Steinberg, Peter D.; Kendrick, Gary A.; Connell, Sean D.","Impacts of climate change in a global hotspot for temperate marine biodiversity and ocean warming","Journal of experimental marine biology and ecology","","","","https://www.sciencedirect.com/science/article/pii/S0022098111000694","","2011","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:37","7–16","","1-2","400","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\LIMGJ9Y8\S0022098111000694.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IYH6EAT8","journalArticle","2007","Corfee-Morlot, Jan; Maslin, Mark; Burgess, Jacquelin","Global warming in the public sphere","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","","1364-503X, 1471-2962","10.1098/rsta.2007.2084","https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2084","Although the science of global warming has been in place for several decades if not more, only in the last decade and a half has the issue moved clearly into the public sphere as a public policy issue and a political priority. To understand how and why this has occurred, it is essential to consider the history of the scientific theory of the greenhouse effect, the evidence that supports it and the mechanisms through which science interacts with lay publics and other elite actors, such as politicians, policymakers and business decision makers. This article reviews why and how climate change has moved from the bottom to the top of the international political agenda. It traces the scientific discovery of global warming, political and institutional developments to manage it as well as other socially mediated pathways for understanding and promoting global warming as an issue in the public sphere. The article also places this historical overview of global warming as a public issue into a conceptual framework for understanding relationships between society and nature with emphasis on the co-construction of knowledge.","2007-11-15","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:37","2741-2776","","1860","365","","Phil. Trans. R. Soc. A.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\UYULJX45\Corfee-Morlot et al. - 2007 - Global warming in the public sphere.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2FZJGDY","journalArticle","2014","Chauhan, Bhagirath Singh; Mahajan, Gulshan; Randhawa, Ramanjit Kaur; Singh, Harpreet; Kang, Manjit S.","Global warming and its possible impact on agriculture in India","Advances in agronomy","","","","https://www.sciencedirect.com/science/article/pii/B9780124202252000029","","2014","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:39","65–121","","","123","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\T9HNA2YU\Chauhan et al. - 2014 - Global warming and its possible impact on agricult.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
