Scopus ID,Source ID,ISSN(IA),eISSN(IA),ISBN(IA),Title,Creator,Publication Name,Cover Date,Cited by #,Type,Subtype,Article number (IA),Volume(IA),DOI(IA),Affiliation(IA)
85161847090,21101158407,,,9781003246251,Human extinction: A history of the science and ethics of annihilation,Torres É.P.,Human Extinction: A History of the Science and Ethics of Annihilation,2023-06-15,2,Book,Book,,,10.4324/9781003246251,
85162951719,21101160794,,,9781003328247,The agricultural sky: A concept to revolutionize farming,Krishna K.R.,The Agricultural Sky: A Concept to Revolutionize Farming,2023-06-02,0,Book,Book,,,10.1201/9781003328247,
85163191119,23045,00211753,15456994,,"One Small Step for Man, One Giant Leap for Moon Microbes? Interpretations of Risk and the Limits of Quarantine in NASA’s Apollo Program",Degroot D.,Isis,2023-06-01,0,Journal,Article,,114,10.1086/724888,"Georgetown University-Washington, D.C.-United Statesx"
85162905850,21100307458,,21508925,,Control efforts of crown-of-thorns starfish outbreaks to limit future coral decline across the Great Barrier Reef,Castro-Sanguino C.,Ecosphere,2023-06-01,3,Journal,Article,e4580,14,10.1002/ecs2.4580,The University of Queensland-Brisbane-Australiax
85159811064,22580,00128252,,,Natural climate change and glaciations,Walzer U.,Earth-Science Reviews,2023-06-01,0,Journal,Review,104435,241,10.1016/j.earscirev.2023.104435,Friedrich-Schiller-Universität Jena-Jena-Germanyx
85162863225,21101160643,,,9781668463680,Compilation of References,,"Multidisciplinary Approaches in AI, Creativity, Innovation, and Green Collaboration",2023-05-01,0,Book,Book Chapter,,,,
85160882064,21101155930,,,9781119828242,Sea ice: Physics and remote sensing,Shokr M.,Sea Ice: Physics and Remote Sensing,2023-04-21,2,Book,Book,,,,Environment and Climate Change Canada-Gatineau-Canadax
85152168776,13090,15311074,,,Land Fraction Diversity on Earth-like Planets and Implications for Their Habitability,Höning D.,Astrobiology,2023-04-01,1,Journal,Article,,23,10.1089/ast.2022.0070,Potsdam Institut fur Klimafolgenforschung-Potsdam-Germanyx
85152525998,27962,00948276,19448007,,Impact Induced Oxidation and Its Implications for Early Mars Climate,Pan L.,Geophysical Research Letters,2023-03-28,1,Journal,Article,e2023GL102724,50,10.1029/2023GL102724,University of Science and Technology of China-Hefei-Chinax
85150348860,4700152725,14735504,14753006,,Planetary geodynamics and age constraints on circumstellar habitable zones around main sequence stars,Mello F.D.S.,International Journal of Astrobiology,2023-03-14,0,Journal,Article,,827,10.1017/S1473550423000083,Universidade de São Paulo-Sao Paulo-Brazilx
85166757764,21101057020,,26323338,,Constraints on the Size and Composition of the Ancient Martian Atmosphere from Coupled CO<inf>2</inf>-N<inf>2</inf>-Ar Isotopic Evolution Models,Thomas T.B.,Planetary Science Journal,2023-03-01,1,Journal,Article,41,4,10.3847/PSJ/acb924,University of Washington-Seattle-United Statesx
85148691861,28261,00386308,15729672,,The Habitability of Venus,Westall F.,Space Science Reviews,2023-03-01,6,Journal,Review,17,219,10.1007/s11214-023-00960-4,CBM Centre de Biophysique Moléculaire-Orleans-Francex
85145973887,17544,01418130,18790003,,Marine enzymes: Classification and application in various industries,Ghattavi S.,International Journal of Biological Macromolecules,2023-03-01,12,Journal,Review,123136,230,10.1016/j.ijbiomac.2023.123136,University of Hormozgan-Bandar Abbas-Iranx
85146097810,22580,00128252,,,Multi-scale ocean dynamical processes in the Indo-Pacific Convergence Zone and their climatic and ecological effects,Du Y.,Earth-Science Reviews,2023-02-01,7,Journal,Review,104313,237,10.1016/j.earscirev.2023.104313,South China Sea Institute of Oceanology-Guangzhou-Chinax
85185992491,21101202903,,,9780197689943,The Dimming of Starlight: The Philosophy of Space Exploration,Munévar G.,The Dimming of Starlight: The Philosophy of Space Exploration,2023-01-01,1,Book,Book,,,10.1093/oso/9780197689912.001.0001,
85184112462,21101199840,,,9780323956406,Sustainability Science: Managing Risk and Resilience for Sustainable Development,Becker P.,Sustainability Science: Managing Risk and Resilience for Sustainable Development,2023-01-01,0,Book,Book,,,10.1016/C2021-0-03020-0,Lunds Universitet-Lund-Swedenx
85175381563,21101185041,,,9781000969283,Advanced Non-Thermal Power Generation Systems,Shah Y.T.,Advanced Non-Thermal Power Generation Systems,2023-01-01,0,Book,Book,,,10.1201/9781003429906,Swanson School of Engineering-Pittsburgh-United Statesx
85173323781,21101181265,,,9789811986611,"Natural Resource Degradation and Human-Nature Wellbeing: Cases of Biodiversity Resources, Water Resources, and Climate Change",Mahmud Titumir R.A.,"Natural Resource Degradation and Human-Nature Wellbeing: Cases of Biodiversity Resources, Water Resources, and Climate Change",2023-01-01,1,Book,Book,,,10.1007/978-981-19-8661-1,University of Dhaka-Dhaka-Bangladeshx
85171018566,21101177282,,,9783031237096,The Trials of Gaia: Milestones in the Evolution of Earth with Reference to the Anthropocene,Glikson A.Y.,The Trials of Gaia: Milestones in the Evolution of Earth with Reference to the Anthropocene,2023-01-01,0,Book,Book,,,10.1007/978-3-031-23709-6,UNSW Sydney-Sydney-Australiax
85169396087,21101175120,,,9780128206003,Pipelines: Emerging Technologies and Design Criteria,Islam M.R.,Pipelines: Emerging Technologies and Design Criteria,2023-01-01,0,Book,Book,,,10.1016/C2019-0-00941-7,Emertec Research and Development Limited-United Statesx
85169361626,21101175030,,,9783031162770,The Blue Compendium: From Knowledge to Action for a Sustainable Ocean Economy,Lubchenco J.,The Blue Compendium: from Knowledge to Action for a Sustainable Ocean Economy,2023-01-01,6,Book,Book,,,10.1007/978-3-031-16277-0,Oregon State University-Corvallis-United Statesx
85169344585,21101174940,,,9781000921465,"The Shaping of Greenland’s Resource Spaces: Environment, Territory, Geo-Security",Nuttall M.,"The Shaping of Greenland’s Resource Spaces: Environment, Territory, Geo-Security",2023-01-01,0,Book,Book,,,10.4324/9781003175421,University of Alberta-Edmonton-Canadax
85165480752,21100232822,,22558837,,Sustaining a Mars Colony through Integration of Single-Cell Oil in Biological Life Support Systems,Spalvins K.,Environmental and Climate Technologies,2023-01-01,0,Journal,Article,,27,10.2478/rtuect-2023-0026,Riga Technical University-Riga-Latviax
85160173046,21101153945,,,9783031151798,Desert Landscapes of the World with Google Earth,Goudie A.,Desert Landscapes of the World with Google Earth,2023-01-01,1,Book,Book,,,10.1007/978-3-031-15179-8,Oxford Social Sciences Division-Oxford-United Kingdomx
85159097896,21101158353,,,9783031100352,"2000 Years of Pandemics: Past, Present, and Future",Ferreira C.,"2000 Years of Pandemics: Past, Present, and Future",2023-01-01,1,Book,Book,,,10.1007/978-3-031-10035-2,
85150147100,21101141375,,,9780323911481,"Ticks: Biology, Ecology, and Diseases",Johnson N.,"Ticks: Biology, Ecology, and Diseases",2023-01-01,0,Book,Book,,,10.1016/C2021-0-00008-0,Animal and Plant Health Agency-Addlestone-United Kingdomx
85144127409,21100798718,,22962565,,Communicating ocean and human health connections: An agenda for research and practice,Reamer M.B.,Frontiers in Public Health,2022-12-02,0,Journal,Review,1033905,10,10.3389/fpubh.2022.1033905,Rosenstiel School of Marine and Atmospheric Science-Miami-United Statesx
85129461039,19700182758,,20411723,,Culling corallivores improves short-term coral recovery under bleaching scenarios,Rogers J.G.D.,Nature Communications,2022-12-01,3,Journal,Article,2520,13,10.1038/s41467-022-30213-x,Commonwealth Scientific and Industrial Research Organisation-Canberra-Australiax
85143151672,26765,0004637X,15384357,,Climate of High-obliquity Exoterrestrial Planets with a Three-dimensional Cloud System Resolving Climate Model,Kodama T.,Astrophysical Journal,2022-11-01,1,Journal,Article,87,940,10.3847/1538-4357/ac98ae,The University of Tokyo-Tokyo-Japanx
85137459151,15131,13541013,13652486,,Emerging biological archives can reveal ecological and climatic change in Antarctica,Strugnell J.M.,Global Change Biology,2022-11-01,7,Journal,Review,,28,10.1111/gcb.16356,James Cook University-Townsville-Australiax
85174784088,12074,00030007,15200477,,STATE OF THE CLIMATE IN 2021,Blunden J.,Bulletin of the American Meteorological Society,2022-08-01,6,Journal,Article,,103,10.1175/2022BAMSStateoftheClimate.1,"National Oceanic and Atmospheric Administration-Washington, D.C.-United Statesx"
85140764779,12074,00030007,15200477,,GLOBAL CLIMATE,Ades M.,Bulletin of the American Meteorological Society,2022-08-01,12,Journal,Article,,103,10.1175/BAMS-D-22-0092.1,European Centre for Medium-Range Weather Forecasts-Reading-United Kingdomx
85137330125,21100237615,,20503911,,Review of Particle Physics,Workman R.L.,Progress of Theoretical and Experimental Physics,2022-08-01,1692,Journal,Review,083C01,2022,10.1093/ptep/ptac097,"The George Washington University-Washington, D.C.-United Statesx"
85135052469,21101038510,21699097,21699100,,Growth and Evolution of Secondary Volcanic Atmospheres: I. Identifying the Geological Character of Hot Rocky Planets,Liggins P.,Journal of Geophysical Research: Planets,2022-07-01,15,Journal,Article,e2021JE007123,127,10.1029/2021JE007123,University of Cambridge-Cambridge-United Kingdomx
85132306305,11700154363,19940416,19940424,,"Chronostratigraphy of the Larsen blue-ice area in northern Victoria Land, East Antarctica, and its implications for paleoclimate",Lee G.,Cryosphere,2022-06-15,1,Journal,Article,,16,10.5194/tc-16-2301-2022,Seoul National University-Seoul-South Koreax
85130815241,21100457028,,23752548,,Changing spatial distribution of water flow charts major change in Mars’s greenhouse effect,Kite E.S.,Science Advances,2022-05-01,6,Journal,Article,eabo5894,8,10.1126/sciadv.abo5894,The University of Chicago-Chicago-United Statesx
85127829714,28261,00386308,15729672,,The Exosphere as a Boundary: Origin and Evolution of Airless Bodies in the Inner Solar System and Beyond Including Planets with Silicate Atmospheres,Lammer H.,Space Science Reviews,2022-04-01,6,Journal,Review,15,218,10.1007/s11214-022-00876-5,Institut fur Weltraumforschung-Graz-Austriax
85126024407,21100873858,,23984902,,Recent developments in state-of-the-art silica-modified catalysts for the fixation of CO<inf>2</inf>in epoxides to form organic carbonates,Raju N.A.,Sustainable Energy and Fuels,2022-03-07,23,Journal,Review,,6,10.1039/d1se01916c,JAIN (Deemed-to-be University)-Bengaluru-Indiax
85129617615,21101057020,,26323338,,Detectability of Chlorofluorocarbons in the Atmospheres of Habitable M-dwarf Planets,Haqq-Misra J.,Planetary Science Journal,2022-03-01,9,Journal,Article,60,3,10.3847/PSJ/ac5404,Blue Marble Space Institute of Science-Seattle-United Statesx
85124094905,26750,00046361,14320746,,Planetary climate under extremely high vertical diffusivity,Si Y.,Astronomy and Astrophysics,2022-02-01,1,Journal,Article,A33,658,10.1051/0004-6361/202140778,Peking University-Beijing-Chinax
85169346768,21101174906,,,9780323904407,"Radioactivity: History, Science, Vital Uses and Ominous Peril",L'Annunziata M.F.,"Radioactivity: History, Science, Vital Uses and Ominous Peril",2022-01-01,0,Book,Book,,,10.1016/C2020-0-02208-5,"International Atomic Energy Agency, Vienna-Vienna-Austriax"
85162637132,21101159436,,,9781800611146,Man Versus Microbe: What Will It Take to Win?,Bremner B.,Man Versus Microbe: What Will It Take to Win?,2022-01-01,0,Book,Book,,,10.1142/q0329,Bloomberg News-United Kingdomx
85161920927,21101158524,,,9783030881566,Global Governance in the Age of the Anthropocene,Fraundorfer M.,Global Governance in the Age of the Anthropocene,2022-01-01,2,Book,Book,,,10.1007/978-3-030-88156-6,University of Leeds-Leeds-United Kingdomx
85150096294,21101141058,,,9780323957175,Water Worlds in the Solar System,Joseph A.,Water Worlds in the Solar System,2022-01-01,0,Book,Book,,,10.1016/C2022-0-00077-5,
85139623250,21101113297,,,9781000610512,"A Most Improbable Story: The Evolution of the Universe, Life, and Humankind",Theroux S.J.,"A Most Improbable Story: The Evolution of the Universe, Life, and Humankind",2022-01-01,0,Book,Book,,,10.1201/9781003270294,Harvard University-Cambridge-United Statesx
85138934719,21101110360,,,9780128235003,Role of essential climate variables and black carbon in climate change: Possible mitigation strategies,Sharma R.,"Biomass, Biofuels, Biochemicals: Climate Change Mitigation: Sequestration of Green House Gases",2022-01-01,0,Book,Book Chapter,,,10.1016/B978-0-12-823500-3.00005-4,Jawaharlal Nehru University-New Delhi-Indiax
85138340369,21101109321,,,9780128170946,Sundarban Mangrove Wetland (A UNESCO World Heritage Site): A Comprehensive Global Treatise,Sarkar S.K.,Sundarban Mangrove Wetland (A UNESCO World Heritage Site): A Comprehensive Global Treatise,2022-01-01,0,Book,Book,,,10.1016/C2018-0-01383-3,University of Calcutta-Kolkata-Indiax
85136350085,21101154001,,,9789811240492,Sustainable Development: The Roles of Carbon and Bio-Carbon: An Introduction to Molecular Sciences,Vogel P.,Sustainable Development: The Roles of Carbon and Bio-Carbon: An Introduction to Molecular Sciences,2022-01-01,1,Book,Book,,,10.1142/12374,École Polytechnique Fédérale de Lausanne-Lausanne-Switzerlandx
85123830621,21100264002,,20457758,,Toward a conceptual framework for managing and conserving marine habitats: A case study of kelp forests in the Salish Sea,Hollarsmith J.A.,Ecology and Evolution,2022-01-01,5,Journal,Article,e8510,12,10.1002/ece3.8510,Simon Fraser University-Burnaby-Canadax
85120995023,22580,00128252,,,A review of methods used to test periodicity of natural processes with a special focus on harmonic periodicities found in global U–Pb detrital zircon age distributions,Puetz S.J.,Earth-Science Reviews,2022-01-01,10,Journal,Review,103885,224,10.1016/j.earscirev.2021.103885,Progressive Science Institute-Honolulu-United Statesx
85118584595,12207,00224073,,,The HITRAN2020 molecular spectroscopic database,Gordon I.E.,Journal of Quantitative Spectroscopy and Radiative Transfer,2022-01-01,735,Journal,Article,107949,277,10.1016/j.jqsrt.2021.107949,Harvard-Smithsonian Center for Astrophysics-Cambridge-United Statesx
85121244384,27424,09927689,14320576,,Predictability of variable solar-terrestrial coupling,Daglis I.A.,Annales Geophysicae,2021-12-10,12,Journal,Review,,39,10.5194/angeo-39-1013-2021,Hellenic Space Center-Athens-Greecex
85121662215,21100808642,,20799276,,Ensuring the sustainability of arctic industrial facilities under conditions of global climate change,Buslaev G.,Resources,2021-12-01,18,Journal,Article,128,10,10.3390/resources10120128,Saint Petersburg Mining University-Saint Petersburg-Russian Federationx
85120636016,97647,00310220,18676812,,Habitability of the early Earth: liquid water under a faint young Sun facilitated by strong tidal heating due to a closer Moon,Heller R.,PalZ,2021-12-01,8,Journal,Article,,95,10.1007/s12542-021-00582-7,Max Planck Institute for Solar System Research-Gottingen-Germanyx
85119277699,13255,00063185,19398697,,"Knowledge Gaps in the Biology, Ecology, and Management of the Pacific Crown-of-Thorns Sea Star Acanthaster sp. on Australia’s Great Barrier Reef",Pratchett M.S.,Biological Bulletin,2021-12-01,25,Journal,Article,,241,10.1086/717026,James Cook University-Townsville-Australiax
85114471940,27241,00191035,10902643,,Mars’ atmospheric neon suggests volatile-rich primitive mantle,Kurokawa H.,Icarus,2021-12-01,7,Journal,Article,114685,370,10.1016/j.icarus.2021.114685,Tokyo Institute of Technology-Tokyo-Japanx
85105006212,19700173023,23673648,16144961,,Solar structure and evolution,Christensen-Dalsgaard J.,Living Reviews in Solar Physics,2021-12-01,53,Journal,Review,2,18,10.1007/s41116-020-00028-3,Aarhus Universitet-Aarhus-Denmarkx
85101686023,21100843270,,21974284,,A review of the SCOSTEP’s 5-year scientific program VarSITI—Variability of the Sun and Its Terrestrial Impact,Shiokawa K.,Progress in Earth and Planetary Science,2021-12-01,9,Journal,Review,21,8,10.1186/s40645-021-00410-1,Nagoya University-Nagoya-Japanx
85119622662,21101038708,,26666758,,Technologies and perspectives for achieving carbon neutrality,Wang F.,Innovation,2021-11-28,538,Journal,Review,100180,2,10.1016/j.xinn.2021.100180,Chinese Academy of Sciences-Beijing-Chinax
85118529095,21206,00280836,14764687,,Episodic deluges in simulated hothouse climates,Seeley J.T.,Nature,2021-11-04,11,Journal,Article,,599,10.1038/s41586-021-03919-z,Harvard University-Cambridge-United Statesx
85118239948,26771,0004640X,1572946X,,On the relation of the lunar recession and the length-of-the-day,Maeder A.M.,Astrophysics and Space Science,2021-10-01,2,Journal,Review,101,366,10.1007/s10509-021-04004-7,Faculty of Science-Geneva-Switzerlandx
85115179498,12074,00030007,15200477,,Global climate,Dunn R.J.H.,Bulletin of the American Meteorological Society,2021-08-01,23,Journal,Review,,102,10.1175/BAMS-D-21-0098.1,Met Office-Exeter-United Kingdomx
85108072887,13048,07224060,14322056,,Using correlative and mechanistic niche models to assess the sensitivity of the Antarctic echinoid Sterechinus neumayeri to climate change,Fabri-Ruiz S.,Polar Biology,2021-08-01,2,Journal,Article,,44,10.1007/s00300-021-02886-5,Université Libre de Bruxelles-Brussels-Belgiumx
85117284995,28218,00358711,13652966,,Characteristics of aquatic biospheres on temperate planets around Sun-like stars and M dwarfs,Lingam M.,Monthly Notices of the Royal Astronomical Society,2021-05-01,5,Journal,Article,,503,10.1093/mnras/stab611,Harvard University-Cambridge-United Statesx
85101780932,21101038510,21699097,21699100,,The Fundamental Connections between the Solar System and Exoplanetary Science,Kane S.R.,Journal of Geophysical Research: Planets,2021-02-01,14,Journal,Review,e2020JE006643,126,10.1029/2020JE006643,"University of California, Riverside-Riverside-United Statesx"
85096627510,29784,1364503X,,,The lunar surface as a recorder of astrophysical processes: Astronomical events recorded by the Moon,Crawford I.A.,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",2021-01-11,13,Journal,Review,20190562,379,10.1098/rsta.2019.0562,"Birkbeck, University of London-London-United Kingdomx"
85137113127,21101159672,,,9783030590758,Life and Its Future,Adams J.C.,Life and its Future,2021-01-01,0,Book,Book,,,10.1007/978-3-030-59075-8,University of Bristol-Bristol-United Kingdomx
85133922919,21101105470,,,9780128228616,Transcriptomic and metatranscriptomic approaches in phytoplankton: insights and advances,Kolody B.C.,Advances in Phytoplankton Ecology: Applications of Emerging Technologies,2021-01-01,1,Book,Book Chapter,,,10.1016/B978-0-12-822861-6.00022-4,"University of California, Berkeley-Berkeley-United Statesx"
85125312505,21101077933,,,9781789246735,"Tourism, Climate Change and the Geopolitics of Arctic Development: The Critical Case of Greenland",Hall D.,"Tourism, Climate Change and the Geopolitics of Arctic Development : The Critical Case of Greenland",2021-01-01,4,Book,Book,,,10.1079/9781789246728.0000,Seabank Associates-Scotland-United Kingdomx
85118237903,21101103647,,,9780128223307,Ocean Acidification and Marine Wildlife: Physiological and Behavioral Impacts,Liu G.,Ocean Acidification and Marine Wildlife: Physiological and Behavioral Impacts,2021-01-01,3,Book,Book,,,10.1016/C2019-0-04274-4,College of Animal Sciences at Zhejiang University-Hangzhou-Chinax
85117129628,21101143487,,,9783030747138,"Climate, Planetary and Evolutionary Sciences: A Machine-Generated Literature Overview",Visconti G.,"Climate, Planetary and Evolutionary Sciences: A Machine-Generated Literature Overview",2021-01-01,2,Book,Book,,,10.1007/978-3-030-74713-8,"Accademia Nazionale dei Lincei, Italy-Rome-Italyx"
85104432884,21101043003,,,9781000380040,Imagining climate engineering: Dreaming of the designer climate,Oomen J.,Imagining Climate Engineering: Dreaming of the Designer Climate,2021-01-01,11,Book,Book,,,10.4324/9781003043553,Universiteit Utrecht-Utrecht-Netherlandsx
85102467423,21101092324,,,9780190946265,"The Survival Nexus: Science, Technology, and World Affairs",Weiss C.,"The Survival Nexus: Science, Technology, and World Affairs",2021-01-01,5,Book,Book,,,10.1093/oso/9780190946265.001.0001,
85093848252,28261,00386308,15729672,,"Future Missions Related to the Determination of the Elemental and Isotopic Composition of Earth, Moon and the Terrestrial Planets",Dandouras I.,Space Science Reviews,2020-12-01,8,Journal,Review,121,216,10.1007/s11214-020-00736-0,Université Toulouse III - Paul Sabatier-Toulouse-Francex
85084203377,21100200805,,20452322,,A Complex Life Habitable Zone Based On Lipid Solubility Theory,Ramirez R.M.,Scientific Reports,2020-12-01,6,Journal,Article,7432,10,10.1038/s41598-020-64436-z,Space Science Institute-Boulder-United Statesx
85096174911,86430,,20724292,,Characterization of stratospheric smoke particles over the antarctica by remote sensing instruments,González R.,Remote Sensing,2020-11-02,8,Journal,Article,3769,12,10.3390/rs12223769,Universidad de Valladolid-Valladolid-Spainx
85096526518,27202,,20751729,,"Six ‘must-have’ minerals for life’s emergence: olivine, pyrrhotite, bridgmanite, serpentine, fougerite and mackinawite",Russell M.J.,Life,2020-11-01,20,Journal,Article,291,10,10.3390/life10110291,Università degli Studi di Torino-Turin-Italyx
85097522302,21101109615,,,9783110629941,"Quantum electrodynamics of photosynthesis: Mathematical description of light, life and matter",Braun B.,"Quantum Electrodynamics of Photosynthesis: Mathematical Description of Light, Life and Matter",2020-10-12,3,Book,Book,,,10.1515/9783110629941,Empa - Swiss Federal Laboratories for Materials Science and Technology-Dubendorf-Switzerlandx
85099757884,21100297619,22237755,22242759,,Origins and early evolution of the atmosphere and the oceans,Marty B.,Geochemical Perspectives,2020-10-01,9,Journal,Review,,9,10.7185/GEOCHEMPERSP.9.2,Université de Lorraine-Nancy-Francex
85093963806,27781,00046280,,,Solar system physics for exoplanet research,Horner J.,Publications of the Astronomical Society of the Pacific,2020-10-01,29,Journal,Article,102001,132,10.1088/1538-3873/ab8eb9,University of Southern Queensland-Toowoomba-Australiax
85088505227,26825,07224028,14320975,,Suppressing the next crown-of-thorns outbreak on the Great Barrier Reef,Babcock R.C.,Coral Reefs,2020-10-01,14,Journal,Article,,39,10.1007/s00338-020-01978-8,Commonwealth Scientific and Industrial Research Organisation-Canberra-Australiax
85089896636,21101038512,21699380,21699402,,Atmospheric Escape Processes and Planetary Atmospheric Evolution,Gronoff G.,Journal of Geophysical Research: Space Physics,2020-08-01,57,Journal,Article,e2019JA027639,125,10.1029/2019JA027639,NASA Langley Research Center-Hampton-United Statesx
85088468787,28261,00386308,15729672,,Possible Atmospheric Diversity of Low Mass Exoplanets – Some Central Aspects,Grenfell J.L.,Space Science Reviews,2020-08-01,12,Journal,Review,98,216,10.1007/s11214-020-00716-4,Deutsches Zentrum für Luft- und Raumfahrt (DLR)-Koln-Germanyx
85087427462,28261,00386308,15729672,,Is the Faint Young Sun Problem for Earth Solved?,Charnay B.,Space Science Reviews,2020-08-01,27,Journal,Review,90,216,10.1007/s11214-020-00711-9,L'Observatoire de Paris-Paris-Francex
85086843015,26765,0004637X,15384357,,"Thermodynamic and Energetic Limits on Continental Silicate Weathering Strongly Impact the Climate and Habitability of Wet, Rocky Worlds",Graham R.J.,Astrophysical Journal,2020-06-20,28,Journal,Article,115,896,10.3847/1538-4357/ab9362,University of Oxford-Oxford-United Kingdomx
85085392069,28218,00358711,13652966,,The effect of high nitrogen pressures on the habitable zone and an appraisal of greenhouse states,Ramirez R.M.,Monthly Notices of the Royal Astronomical Society,2020-05-01,8,Journal,Article,,494,10.1093/mnras/staa603,Space Science Institute-Boulder-United Statesx
85084849505,21101038510,21699097,21699100,,Venusian Habitable Climate Scenarios: Modeling Venus Through Time and Applications to Slowly Rotating Venus-Like Exoplanets,Way M.J.,Journal of Geophysical Research: Planets,2020-05-01,98,Journal,Article,e2019JE006276,125,10.1029/2019JE006276,GSFC Sellers Exoplanet Environments Collaboration-Greenbelt-United Statesx
85079427103,15131,13541013,13652486,,Benthic ecoregionalization based on echinoid fauna of the Southern Ocean supports current proposals of Antarctic Marine Protected Areas under IPCC scenarios of climate change,Fabri-Ruiz S.,Global Change Biology,2020-04-01,14,Journal,Article,,26,10.1111/gcb.14988,Université Libre de Bruxelles-Brussels-Belgiumx
85140133966,21101114751,,,9783110561340,"History, change and sustainability",Möller D.,"History, Change and Sustainability",2020-03-09,0,Book,Book,,,10.1515/9783110561340,Brandenburgische Technische Universität Cottbus-Cottbus-Germanyx
85089251444,21101049051,,2662138X,,Probing space to understand Earth,Lapôtre M.G.A.,Nature Reviews Earth and Environment,2020-03-01,25,Journal,Review,,1,10.1038/s43017-020-0029-y,Stanford University-Stanford-United Statesx
85081949941,28261,00386308,15729672,,Mission to Planet Earth: The First Two Billion Years,Stüeken E.E.,Space Science Reviews,2020-03-01,18,Journal,Review,31,216,10.1007/s11214-020-00652-3,Virtual Planetary Laboratory-Seattle-United Statesx
85079768553,16100154770,17400228,17400236,,A benchmark for the environment: Big science and 'artificial' geophysics in the global 1950s,Goossen B.W.,Journal of Global History,2020-03-01,6,Journal,Review,,15,10.1017/S1740022819000378,Harvard University-Cambridge-United Statesx
85081648511,84932,0023074X,20959419,,Overview and perspectives of Astrobiology,Lin W.,Kexue Tongbao/Chinese Science Bulletin,2020-02-15,7,Journal,Article,,65,10.1360/TB-2019-0396,Chinese Academy of Sciences-Beijing-Chinax
85119028107,21101065434,,,9781845417673,"Sustainable tourism: Principles, contexts and practices",Fennell D.A.,"Sustainable Tourism: Principles, Contexts and Practices",2020-01-30,32,Book,Book,,,10.21832/FENNEL7666,Brock University-St. Catharines-Canadax
85125351246,21101077911,,,9780128146088,Biogeochemistry: An Analysis of Global Change,Schlesinger W.H.,Biogeochemistry: An Analysis of Global Change,2020-01-01,66,Book,Book,,,10.1016/B978-0-12-814608-8.09991-6,Duke University-Durham-United Statesx
85116415036,21101151842,25100475,25100483,,Trace Gases in the Arctic Atmosphere,Strong K.,Springer Polar Sciences,2020-01-01,1,Book Series,Book Chapter,,,10.1007/978-3-030-33566-3_3,University of Toronto-Toronto-Canadax
